country,country,proportion
ABW,2,0.0019437479347678191
AGO,266,0.25851847532412
AIA,1,0.0009718739673839096
ALB,10,0.009718739673839096
AND,7,0.006803117771687368
ARE,49,0.04762182440181157
ARG,185,0.17979668396602327
ARM,8,0.007774991739071277
ASM,1,0.0009718739673839096
ATA,2,0.0019437479347678191
ATF,1,0.0009718739673839096
AUS,402,0.3906933348883317
AUT,1165,1.132233172002255
AZE,16,0.015549983478142553
BDI,1,0.0009718739673839096
BEL,2156,2.0953602736797095
BEN,3,0.002915621902151729
BFA,1,0.0009718739673839096
BGD,12,0.011662487608606916
BGR,74,0.07191867358640931
BHR,5,0.004859369836919548
BHS,1,0.0009718739673839096
BIH,11,0.010690613641223005
BLR,24,0.02332497521721383
BOL,10,0.009718739673839096
BRA,2086,2.0273290959628354
BRB,4,0.0038874958695356383
BWA,1,0.0009718739673839096
CAF,5,0.004859369836919548
CHE,1641,1.5948451804769959
CHL,60,0.058312438043034584
CHN,949,0.9223083950473302
CIV,6,0.005831243804303458
CMR,10,0.009718739673839096
CN,1239,1.204151845588664
COL,68,0.06608742978210586
COM,2,0.0019437479347678191
CPV,21,0.020409353315062103
CRI,16,0.015549983478142553
CUB,6,0.005831243804303458
CYM,1,0.0009718739673839096
CYP,28,0.02721247108674947
CZE,158,0.15355608684665772
DEU,6998,6.8011740237526
DJI,1,0.0009718739673839096
DMA,1,0.0009718739673839096
DNK,408,0.39652457869263513
DOM,13,0.012634361575990826
DZA,93,0.09038427896670359
ECU,26,0.025268723151981653
EGY,31,0.0301280929889012
ESP,7848,7.627266896028923
EST,76,0.07386242152117714
ETH,3,0.002915621902151729
FIN,406,0.3945808307578673
FJI,1,0.0009718739673839096
FRA,9810,9.534083620036153
FRO,5,0.004859369836919548
GAB,4,0.0038874958695356383
GBR,10889,10.582735630843393
GEO,21,0.020409353315062103
GGY,3,0.002915621902151729
GHA,4,0.0038874958695356383
GIB,18,0.017493731412910375
GLP,2,0.0019437479347678191
GNB,5,0.004859369836919548
GRC,104,0.10107489260792661
GTM,4,0.0038874958695356383
GUY,1,0.0009718739673839096
HKG,29,0.028184345054133378
HND,1,0.0009718739673839096
HRV,83,0.0806655392928645
HUN,217,0.21089665092230842
IDN,34,0.03304371489105293
IMN,2,0.0019437479347678191
IND,143,0.1389779773358991
IRL,3198,3.108052947693743
IRN,80,0.07774991739071277
IRQ,11,0.010690613641223005
ISL,56,0.05442494217349894
ISR,661,0.6424086924407644
ITA,3555,3.455011954049799
JAM,6,0.005831243804303458
JEY,7,0.006803117771687368
JOR,21,0.020409353315062103
JPN,182,0.17688106206387155
KAZ,18,0.017493731412910375
KEN,6,0.005831243804303458
KHM,2,0.0019437479347678191
KIR,1,0.0009718739673839096
KNA,2,0.0019437479347678191
KOR,126,0.12245611989037263
KWT,16,0.015549983478142553
LAO,2,0.0019437479347678191
LBN,28,0.02721247108674947
LBY,5,0.004859369836919548
LCA,1,0.0009718739673839096
LIE,3,0.002915621902151729
LKA,6,0.005831243804303458
LTU,73,0.0709467996190254
LUX,271,0.2633778451610395
LVA,52,0.050537446303963306
MAC,16,0.015549983478142553
MAR,215,0.20895290298754057
MCO,4,0.0038874958695356383
MDV,12,0.011662487608606916
MEX,79,0.07677804342332886
MKD,3,0.002915621902151729
MLI,1,0.0009718739673839096
MLT,13,0.012634361575990826
MMR,1,0.0009718739673839096
MNE,3,0.002915621902151729
MOZ,57,0.055396816140882855
MRT,1,0.0009718739673839096
MUS,7,0.006803117771687368
MWI,1,0.0009718739673839096
MYS,26,0.025268723151981653
MYT,2,0.0019437479347678191
NAM,1,0.0009718739673839096
NCL,1,0.0009718739673839096
NGA,34,0.03304371489105293
NIC,1,0.0009718739673839096
NLD,1959,1.9039011021050791
NOR,583,0.5666025229848193
NPL,1,0.0009718739673839096
NZL,69,0.06705930374948976
OMN,17,0.016521857445526464
PAK,12,0.011662487608606916
PAN,9,0.008746865706455187
PER,27,0.02624059711936556
PHL,40,0.038874958695356385
PLW,1,0.0009718739673839096
POL,815,0.7920772834178864
PRI,4,0.0038874958695356383
PRT,37591,36.53371430792855
PRY,4,0.0038874958695356383
PYF,1,0.0009718739673839096
QAT,14,0.013606235543374735
ROU,487,0.47330262211596397
RUS,570,0.5539681614088285
RWA,1,0.0009718739673839096
SAU,47,0.045678076467043756
SDN,1,0.0009718739673839096
SEN,11,0.010690613641223005
SGP,39,0.03790308472797248
SLE,1,0.0009718739673839096
SLV,2,0.0019437479347678191
SRB,100,0.09718739673839097
SUR,4,0.0038874958695356383
SVK,58,0.056368690108266756
SVN,49,0.04762182440181157
SWE,939,0.9125896553734911
SYC,2,0.0019437479347678191
SYR,2,0.0019437479347678191
TGO,2,0.0019437479347678191
THA,58,0.056368690108266756
TJK,9,0.008746865706455187
TMP,3,0.002915621902151729
TUN,38,0.03693121076058857
TUR,227,0.2206153905961475
TWN,50,0.048593698369195484
TZA,5,0.004859369836919548
UGA,2,0.0019437479347678191
UKR,65,0.06317180787995413
UMI,1,0.0009718739673839096
URY,25,0.024296849184597742
USA,1970,1.914591715746302
UZB,3,0.002915621902151729
VEN,23,0.022353101249829924
VGB,1,0.0009718739673839096
VNM,8,0.007774991739071277
ZAF,73,0.0709467996190254
ZMB,2,0.0019437479347678191
ZWE,4,0.0038874958695356383
